category,item_idx,text,fragmentation,frequency_score,lf_score,z_fragmentation,z_frequency,peak_layer
idiom,0,Let 's give her the benefit of the doubt and assume that she is right .,1.0,95.79792022705078,2.0203618514656796,-0.7873746255565724,1.2329872259091073,1
idiom,1,The management was given a ballpark figure at the very beginning of the presentation .,1.5,95.41206359863281,1.5169804055075198,-0.30680831927514707,1.2101720862323726,1
idiom,2,I am really happy with the new job and I mean that from the bottom of my heart .,1.0,98.94966125488281,2.206719701711007,-0.7873746255565724,1.4193450761544346,1
idiom,3,The turning point in the story came when the protagonist lost his sister in a car accident .,1.0,76.50375366210938,0.879525922508963,-0.7873746255565724,0.09215129695239055,1
idiom,4,"When it comes to weaker students , the teacher goes the extra mile to help them understand .",1.0,65.07682800292969,0.20386847414852438,-0.7873746255565724,-0.5835061514080481,1
idiom,5,"I heard you had a special date with Tom yesterday ; so did he pop the question , then ?",1.0,98.60026041666667,2.186060139739107,-0.7873746255565724,1.3986855141825345,1
idiom,6,"I appreciate the fact that you have a sense of humour , but we need to be serious now .",1.0,93.60885620117188,1.8909256883070626,-0.7873746255565724,1.10355106275049,1
idiom,7,"The client has been given a commitment , we can not turn back on the project now even if it means wo",1.0,99.6782938639323,2.249802685192841,-0.7873746255565724,1.4624280596362684,1
idiom,8,Losing that job turned out to be a blessing in disguise for him as it forced him to plunge into busi,1.3333333333333333,80.61933517456055,0.8024967173531834,-0.4669970880356223,0.33549962931756105,1
idiom,9,The teacher had asked the student to be quiet several times but he was still talking and She got ang,1.0,97.28042602539062,2.1080202571262765,-0.7873746255565724,1.320645631569704,1
idiom,10,You will go on a date with my sister over my dead body !,1.0,98.59199523925781,2.1855714318534623,-0.7873746255565724,1.39819680629689,1
idiom,11,"If it 's the tough time in your life , it comes with many silver linings .",1.0,49.50580596923828,-0.7168233487825578,-0.7873746255565724,-1.5041979743391303,1
idiom,12,I have to keep slapping his wrist away from the cake or there will be nothing left for the party .,1.3333333333333333,95.77455520629883,1.6986027743449272,-0.4669970880356223,1.231605686309305,1
idiom,13,"To make this project successful in the long run , they will need more partners .",1.0,98.53363037109375,2.1821204023225276,-0.7873746255565724,1.3947457767659552,1
idiom,14,The Mason 's let the cat out of the bag at the end minute and until then nobody at the party knew ab,1.0,98.02538553873698,2.1520686266468294,-0.7873746255565724,1.3646940010902568,1
idiom,15,A do-or-die attempt to halt the invaders .,5.0,61.97013854980469,-3.824355992442302,3.057155824694831,-0.767200167747471,1
idiom,16,"He has always been so nice , talk about the call of the wild !",1.0,99.11537170410156,2.2165179188890334,-0.7873746255565724,1.4291432933324608,1
idiom,17,Do n't try to explain the technicalities of how this machine works ; it would be all Greek to me .,1.0,96.72279357910156,2.0750482638692813,-0.7873746255565724,1.2876736383127088,1
idiom,18,"When my dad finds out that I have lost the mobile phone , I am as dead as a dodo !",1.2,98.98401896158855,2.0165247002861464,-0.5951481030440023,1.4213765972421442,1
idiom,19,The life of the royal family is a bed of roses in United Kingdom of Great Britain .,1.0,65.23539225260417,0.2132441469700399,-0.7873746255565724,-0.5741304785865325,1
idiom,20,This diamond is a cut above the rest and You will like it because you have an expensive taste .,1.0,69.10146077473958,0.4418391401258928,-0.7873746255565724,-0.34553548543067963,1
idiom,21,The army is wise to batten down the hatches near the border when our neighbouring country seems to b,1.3333333333333333,77.91004180908203,0.642300152084683,-0.4669970880356223,0.1753030640490608,1
idiom,22,The fact that she had no backup plan in case she got caught made her a sitting duck .,1.0,65.05088806152344,0.20233468324588677,-0.7873746255565724,-0.5850399423106857,1
idiom,23,The current prime minister thinks it is a joke to volte face on the plans that he announces publicly,1.3333333333333333,99.13187026977539,1.8971159174936576,-0.4669970880356223,1.4301188294580354,1
idiom,24,"It turns out my assignment is due on Monday not Tuesday , I have been living in a fool ' a paradise ",1.0,95.08584340413411,1.9782577874717058,-0.7873746255565724,1.1908831619151332,1
idiom,25,"The play can begin at the drop of a dime , you just need to say the word .",1.0,92.47001647949219,1.8235877565315572,-0.7873746255565724,1.036213130974985,1
idiom,26,"As a rule of thumb , I do not start a new project on Fridays .",1.0,93.5315450032552,1.8863543899305735,-0.7873746255565724,1.0989797643740011,1
idiom,27,When the share market crashed his fingers were burnt from all the investments that he had made .,1.0,93.05503845214844,1.8581792525357494,-0.7873746255565724,1.0708046269791769,1
idiom,28,Whenever we speak she brings up the fight we had years ago and this makes me think we still have som,1.5,66.73952738444011,-0.1783848427069719,-0.30680831927514707,-0.485193161982119,1
idiom,29,Today is only a dry run so we will not be using the actual costumes .,1.0,80.28335571289062,1.1030082793226912,-0.7873746255565724,0.3156336537661187,1
idiom,30,The kids need to understand that even though they have been born with a silver spoon in their mouths,1.4,71.50497436523438,0.19950234824612664,-0.40292158053143223,-0.2034192322853056,1
idiom,31,This week will be so hectic as I have a lot on my plate .,1.0,97.97325134277344,2.1489860076758416,-0.7873746255565724,1.3616113821192692,1
idiom,32,The man beat his own mother black and blue ! How could someone do such a horrible act ? The mother i,1.0,98.32433064778645,2.1697448149414416,-0.7873746255565724,1.3823701893848692,1
idiom,33,The trip was up a blind alley .,1.0,92.17853546142578,1.8063529090505956,-0.7873746255565724,1.018978283494023,1
idiom,34,My father told me never to toot my own horn .,1.25,97.586669921875,1.8858448589361148,-0.5470914724158598,1.338753386520255,1
idiom,35,"Last night , I met Sara for a pep talk because I had my interview the very next day .",2.0,54.72087860107422,-1.369596322669543,0.17375798700627837,-1.1958383356632645,1
idiom,36,This moment which has come to pass shall remain the most memorable for me in my life time .,1.0,99.25765991210938,2.2249312131049717,-0.7873746255565724,1.4375565875483993,1
idiom,37,I am really tired after all that exercise and I am going to hit the sack .,1.0,89.3445332845052,1.6387824936460076,-0.7873746255565724,0.8514078680894351,1
idiom,38,Our teacher told us that we will get a long summer break and this was just music to my ears .,1.0,89.74876403808594,1.662684068545444,-0.7873746255565724,0.8753094429888716,1
idiom,39,He is too long in the tooth to be working with 18 year old paired opposite him in movies .,1.0,96.96439107259114,2.089333571295808,-0.7873746255565724,1.3019589457392353,1
idiom,40,"I will give you the information regarding what really happened , but strictly off the record .",1.0,98.8006591796875,2.197909426320268,-0.7873746255565724,1.4105348007636955,1
idiom,41,Two of the new students were thrown into the lion 's den as their ragging was taking place .,1.3333333333333333,72.75676727294922,0.33759454467686584,-0.4669970880356223,-0.12940254335875645,1
idiom,42,"I have an exam tomorrow , I need to hit the books tonight .",1.0,96.49747212727864,2.0617253350483304,-0.7873746255565724,1.274350709491758,1
idiom,43,"During an analysis of the news , he went out on a limb and expressed an opinion that was opposite to",1.0,93.23043823242188,1.8685503857274077,-0.7873746255565724,1.0811757601708354,1
idiom,44,The operations guide covers all the rules from A to Z .,1.0,99.51105117797852,2.239913869091399,-0.7873746255565724,1.4525392435348263,1
idiom,45,"The building blocks of success , in my view , come from perseverance and hard work .",1.0,93.71967315673828,1.8974781332661248,-0.7873746255565724,1.1101035077095522,1
idiom,46,People tend to get set in their ways as they grow older .,1.0,99.37416076660156,2.2318197387177,-0.7873746255565724,1.4444451131611278,1
idiom,47,Every employee undergoes a learning curve while getting to know the company .,1.0,84.22126770019531,1.3358512717922224,-0.7873746255565724,0.54847664623565,1
idiom,48,"Do not speak to her in a rude tone , she is just going through some baby blues right now and needs c",1.0,83.00666809082031,1.2640337683510727,-0.7873746255565724,0.47665914279450033,1
idiom,49,"In the capital 's well-to-do suburbs , hiring a security guard has become a must for every family .",5.0,63.05061340332031,-3.7604690901977316,3.057155824694831,-0.7033132655029006,1
idiom,50,"This politician , who looks so successful and empathetic now has the blood of many people on his han",1.0,81.94580078125,1.2013062315829077,-0.7873746255565724,0.4139316060263354,1
